1, Walmart, wmt,0.58%, Bentonville, AR, General Merchandisers,
2, Exxon Mobil, xom,1.29%, Irving, TX, Petroleum Refining,
3, Chevron, cvx,0.76%, San Ramon, CA, Petroleum Refining,
4, Berkshire Hathaway, brk - a,0.22%, Omaha, NE, Insurance: Property and Casualty(Stock),
5, Apple, aapl,0.47%, Cupertino, CA,"Computers, Office Equipment",
6, General Motors, gm,0.42%, Detroit, MI, Motor Vehicles and Parts,
7, Phillips 66, psx,0.40%, Houston, TX, Petroleum Refining,
8, General Electric, ge,0.04%, Fairfield, CT, Diversified Financials,
9, Ford Motor, f,-0.33%, Dearborn, MI, Motor Vehicles and Parts,
10, CVS Health, cvs,0.58%, Woonsocket, RI, Food and Drug Stores,
11, McKesson, mck,0.29%, San Francisco, CA, Wholesalers: Health Care,
12, AT&T, t,0.76%, Dallas, TX, Telecommunications,
13, Valero Energy, vlo,0.77%, San Antonio, TX, Petroleum Refining,
14, UnitedHealth Group, unh,2.16%, Minnetonka, MN, Health Care: Insurance and Managed Care,
15, Verizon, vz,0.89%, New York, NY, Telecommunications,
16, AmerisourceBergen, abc,0.50%, Chesterbrook, PA, Wholesalers: Health Care,
17, Fannie Mae, fnma,-1.16%, Washington, DC, Diversified Financials,
18, Costco, cost,0.55%, Issaquah, WA, Specialty Retailers: Other,
19, HP, hpq,-0.19%, Palo Alto, CA," Computers, Office Equipment",
20, Kroger, kr,0.85%, Cincinnati, OH, Food and Drug Stores,
21, JP Morgan Chase, jpm,0.56%, New York, NY, Commercial Banks,
22, Express Scripts Holding, esrx,0.98%, St.Louis, MO, Health Care: Pharmacy and Other Services,
23, Bank of America Corp., bac,0.46%, Charlotte, NC, Commercial Banks,
24, IBM, ibm,0.35%, Armonk, NY, Information Technology Services,
25, Marathon Petroleum, mpc,0.25%, Findlay, OH, Petroleum Refining,
26, Cardinal Health, cah,0.96%, Dublin, OH, Wholesalers: Health Care,
27, Boeing, ba,0.04%, Chicago, IL, Aerospace and Defense,
28, Citigroup, c,0.85%, New York, NY, Commercial Banks,
29, Amazon.com, amzn,0.85%, Seattle, WA, Internet Services and Retailing,
30, Wells Fargo, wfc,0.42%, San Francisco, CA, Commercial Banks,
31, Microsoft, msft,0.78%, Redmond, WA, Computer Software,
32, Procter & Gamble, pg,1.25%, Cincinnati, OH, Household and Personal Products,
33, Home Depot hd,,0.20%, Atlanta, GA ,Specialty Retailers: Other,
34, Archer Daniels Midland, adm,0.35%, Chicago, IL, Food Production,
35, Walgreens, wba,1.73%, Deerfield, IL, Food and Drug Stores,
36, Target, tgt,0.65%, Minneapolis, MN, General Merchandisers,
37, Johnson & Johnson, jnj,0.89%, New Brunswick, NJ, Pharmaceuticals,
38, Anthem, antm,1.45%, Indianapolis, IN, Health Care: Insurance and Managed Care,
39, MetLife, met,1.37%, New York, NY," Insurance: Life,  Health(stock)",
40, Google, googl,0.34%, Mountain View, CA, Internet Services and Retailing,
41, State Farm Insurance Cos.,,, Bloomington, IL, Insurance: Property and Casualty(Mutual),
42, Freddie Mac, fmcc,-0.81%, McLean, VA, Diversified Financials,
43, Comcast, cmcsa,0.93%, Philadelphia, PA, Telecommunications,
44, PepsiCo, pep,0.98%, Purchase, NY, Food Consumer Products,
45, United Technologies, utx,0.29%, Hartford, CT, Aerospace and Defense,
46, AIG, aig,-0.94%, New York, NY, Insurance: Property and Casualty(Stock),
47, UPS, ups,0.39%, Atlanta, GA," Mail, Package, and Freight",
48, Dow Chemical, dow,1.41%, Midland, MI, Chemicals,
49, Aetna, aet,3.27%, Hartford, CT, Health Care: Insurance and Managed Care,
50, Lowe 's##, low,0.42%, Mooresville, NC, Specialty Retailers: Other,
51, ConocoPhillips, cop,0.25%, Houston, TX," Mining,  Crude - Oil Production",
52, Intel, intc,0.78%, Santa Clara, CA, Semiconductors and Other Electronic Components,
53, Energy Transfer Equity, ete,-0.81%, Dallas, TX, Pipelines,
54, Caterpillar, cat,-0.62%, Peoria, IL, Construction and Farm Machinery,
55, Prudential Financial, pru,1.30%, Newark, NJ," Insurance: Life,  Health(stock)",
56, Pfizer, pfe,0.26%, New York, NY, Pharmaceuticals,
57, Disney, dis,0.80%, Burbank, CA, Entertainment,
58, Humana, hum,-3.38%, Louisville, KY, Health Care: Insurance and Managed Care,
59, Enterprise Products Partners, epd,-0.06%, Houston, TX, Pipelines,
60, Cisco Systems, csco,0.81%, San Jose, CA, Network and Other Communications Equipment,
61, Sysco, syy,0.65%, Houston, TX, Wholesalers: Food and Grocery,
62, Ingram Micro, im,1.43%, Santa Ana, CA, Wholesalers: Electronics and Office Equipment,
63, Coca - Cola, ko,1.24%, Atlanta, GA, Beverages,
64, Lockheed Martin, lmt,0.47%, Bethesda, MD, Aerospace and Defense,
65, FedEx, fdx,-0.15%, Memphis, TN," Mail, Package, and Freight",
66, Johnson Controls, jci,0.21%, Milwaukee, WI, Motor Vehicles and Parts,
67, Plains GP Holdings, pagp,0.56%, Houston, TX, Pipelines,
68, World Fuel Services, int,0.10%, Miami, FL, Wholesalers: Diversified,
69, CHS, ,, Inver Grove Heights, MN, Food Production,
70, American Airlines Group, aal,-1.47%, Fort Worth, TX, Airlines,
71, Merck, mrk,1.03%, Kenilworth, NJ, Pharmaceuticals,
72, Best Buy, bby,0.79%, Richfield, MN, Specialty Retailers: Other,
73, Delta Air Lines, dal,-0.32%, Atlanta, GA, Airlines,
74, Honeywell International, hon,0.64%, Morris Township, NJ, Electronics,
75, HCA Holdings, hca,-0.97%, Nashville, TN, Health Care: Medical Facilities,
76, Goldman Sachs Group, gs,0.85%, New York, NY, Commercial Banks,
77, Tesoro, tso,0.28%, San Antonio, TX, Petroleum Refining,
78, Liberty Mutual Insurance Group, ,, Boston, MA, Insurance: Property and Casualty(Stock),
79, United Continental Holdings, ual,-1.95%, Chicago, IL, Airlines,
80, New York Life Insurance, ,, New York, NY," Insurance: Life, Health(Mutual)",
81, Oracle, orcl,2.10%, Redwood City, CA, Computer Software,
82, Morgan Stanley, ms,0.53%, New York, NY, Commercial Banks,
83, Tyson Foods, tsn,0.62%, Springdale, AR, Food Production,
84, Safeway, ,, Pleasanton, CA, Food and Drug Stores,
85, Nationwide, ,, Columbus, OH, Insurance: Property and Casualty(Mutual),
86, Deere, de,-0.37%, Moline, IL, Construction and Farm Machinery,
87, DuPont, dd,0.43%, Wilmington, DE, Chemicals,
88, American Express, axp,0.14%, New York, NY, Commercial Banks,
89, Allstate, all,0.99%, Northbrook, IL, Insurance: Property and Casualty(Stock),
90, Cigna, ci,0.35%, Bloomfield, CT, Health Care: Insurance and Managed Care,
91, Mondelez International, mdlz,1.58%, Deerfield, IL, Food Consumer Products,
92, TIAA - CREF, ,, New York, NY," Insurance: Life, Health(Mutual)",
93, INTL FCStone, intl,-0.08%, New York, NY, Diversified Financials,
94, Massachusetts Mutual Life Insurance, ,, Springfield, MA," Insurance: Life, Health(Mutual)",
95, DirecTV, dtv,0.42%, El Segundo, CA, Telecommunications,
96, Halliburton, hal,-0.29%, Houston, TX, Oil and Gas Equipment,
97, Twenty - First Century Fox, foxa,-0.62%, New York, NY, Entertainment,
98,  3M, mmm,0.40%, St.Paul, MN, zMiscellaneous,
99, Sears Holdings, shld,0.44%, Hoffman Estates, IL, General Merchandisers,
100, General Dynamics, gd,0.85%, Falls Church, VA, Aerospace and Defense,
101, Publix Super Markets, ,, Lakeland, FL, Food and Drug Stores,
102, Philip Morris International, pm,0.68%, New York, NY, Tobacco,
103, TJX, tjx,0.45%, Framingham, MA, Specialty Retailers: Apparel,
104, Time Warner, twx,1.00%, New York, NY, Entertainment,
105, Macy 's##, m,-0.17%, Cincinnati, OH, General Merchandisers,
106, Nike, nke,1.17%, Beaverton, OR, Apparel,
107, Tech Data, tecd,1.93%, Clearwater, FL, Wholesalers: Electronics and Office Equipment,
108, Avnet, avt,0.26%, Phoenix, AZ, Wholesalers: Electronics and Office Equipment,
109, Northwestern Mutual, ,, Milwaukee, WI," Insurance: Life, Health(Mutual)",
110, McDonald 's##, mcd,0.35%, Oak Brook, IL, Food Services,
111, Exelon, exc,0.56%, Chicago, IL, Utilities: Gas and Electric,
112, Travelers Cos., trv,0.71%, New York, NY, Insurance: Property and Casualty(Stock),
113, Qualcomm, qcom,-0.25%, San Diego, CA, Network and Other Communications Equipment,
114, International Paper, ip,-0.06%, Memphis, TN, Packaging,
115, Occidental Petroleum, oxy,1.37%, Houston, TX," Mining,  Crude - Oil Production",
116, Duke Energy, duk,0.10%, Charlotte, NC, Utilities: Gas and Electric,
117, Rite Aid, rad,2.17%, Camp Hill, PA, Food and Drug Stores,
118, Gilead Sciences, gild,0.77%, Foster City, CA, Pharmaceuticals,
119, Baker Hughes, bhi,-0.28%, Houston, TX, Oil and Gas Equipment,
120, Emerson Electric, emr,-0.15%, St.Louis, MO, Electronics,
121, EMC, emc,0.71%, Hopkinton, MA, Computer Peripherals,
122, USAA, ,, San Antonio, TX, Insurance: Property and Casualty(Stock),
123, Union Pacific, unp,0.00%, Omaha, NE, Railroads,
